10/15/2019 19:54,"Jakarta, DKI Jakarta","Jakarta, DKI Jakarta",Perempuan,19,"JakartaJS, ReactJS Indonesia",Sedang Kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/15/2019 20:35,Surabaya,Surabaya,Perempuan,22,Tidak,Sedang Kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/16/2019 16:07,"Denpasar, Bali","Denpasar, Bali",Perempuan,23,"BaliJs, Developer Circle Bali",Backend,Backend,,,2-5 tahun,Dari tutorial,TypeORM,"Belum terlalu mengerti, sedang proses mempelajari dan mencoba",TypeORM,"User friendly (cepat, ringan, kecil)",5-10 juta per bulan,5-10 orang,Referal dari rekan,Kadang-kadang,Jest
10/17/2019 8:35,Jombang,Jombang,Perempuan,20,Tidak ada,Backend,Backend,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,Vue,Lebih mudah di mengerti ,Vue,"User friendly (cepat, ringan, kecil)",0-5 juta per bulan,1-5 orang,Referal dari rekan,"Sudah, tapi belum semua",Mocha
10/17/2019 10:52,"Makassar, Sulawesi Selatan","Makassar, Sulawesi Selatan",Perempuan,28,Tidak ada,Karyawan swasta,lainnya,"React, Vue",Video,,,,,,,,,,,
10/17/2019 19:31,"Jakarta Barat, DKI Jakarta","Jakarta Barat, DKI Jakarta",Perempuan,21,JakartaJS,Frontend,Frontend,,,1-2 tahun,Langsung mencoba menggunakan,Angular,Cukup familiar krn memiliki konsep MVC dimana sebelum adanya web modern konsep ini sudah ada di framework seperti Laravel namun awalnya sangat sulit dipelajari karena harus punya basic TypeScript.,React,Developer friendly,5-10 juta per bulan,50-100 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/18/2019 21:26,"Depok, Jawa Barat","Depok, Jawa Barat",Perempuan,23,"JakartaJS,React Native ID",Frontend,Frontend,,,1-2 tahun,"Dari contoh aplikasi, example code ataupun boilerplate",React,"Kelebihannya komunitasnya besar dan banyak developer yg memakai bahasa tersebut, kekurangannya learning curvenya termasuk yg landai jd agak sulit untuk di awal2 masa belajar",Vue,Yang populer atau paling banyak digunakan,10-20 juta per bulan,20-50 orang,Referal dari rekan,Belum,
10/19/2019 10:37,"Bekasi, jawa barat","Bekasi, jawa barat",Perempuan,25,"Saya tinggal di bekasi tapi ngantor jakarta, ngikut komunitas jakarta",Fullstack,Fullstack,,,2-5 tahun,Dari dokumentasi resmi,Vue,Ya sama aja sih framework rata2.. yg paling berasa dari vue dari segi ke simple an dan learning curve,React,Yang populer atau paling banyak digunakan,10-20 juta per bulan,10-20 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/20/2019 19:32,Makassar,Makassar,Perempuan,23,Kpm,Baru lulus kuliah,kuliah,"Angular, Ember, Vue",Video,,,,,,,,,,,
10/24/2019 15:38,Jakarta,Jakarta,Perempuan,26,Tidak,Backend,Backend,,,2-5 tahun,Langsung membuat proyek-proyek sederhana,Svelte,Simple,Svelte,Talenta tersedia,5-10 juta per bulan,50-100 orang,Referal dari rekan,Kadang-kadang,Jest
10/31/2019 16:06,"Kab. Sleman, D.I Yogyakarta","Kab. Sleman, D.I Yogyakarta",Perempuan,27,JogjaJS,Frontend,Frontend,,,Dibawah 1 tahun,"Awalnya Dari Tutorial & Kursus Online, mencari Project Freelance",React,"dibandingkan dengan jQuery, React lebih mudah, meskipun ketika mengakses DOM secara langsung tidak nyaman dengan keyword tag JSXnya (dangerouslySetInnerHTML)",React,Yang sudah mature,0-5 juta per bulan,100-1000 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Harus,"Pada bagian QA menggunakan AB Test, saya sendiri masih ingin mendalami Jest"
